a			ʌ
conservatorship	kʌnsɚˈvʌtɚʃɪˌp
conservatory		kʌnsɚˈvʌtɔɹi
conserve		kʌnsɚˈv
conserved		kʌnsɚˈvd
conserving		kʌnsɚˈvɪŋ
conshohocken		kɑˌnʃʌhɑˈkʌn
consider		kʌnsɪˈdɚ
considerable		kʌnsɪˈdɚʌbʌl
considerably		kʌnsɪˈdɚʌbli
considerate		kʌnsɪˈdɚʌt
consideration		kʌnsɪˌdɚejˈʃʌn
considerations		kʌnsɪˌdɚejˈʃʌnz
considered		kʌnsɪˈdɚd
considering		kʌnsɪˈdɚɪŋ
considers		kʌnsɪˈdɚz
considine		kɑˈnsɪdajˌn
consiglio		kɑnsiˈgliow
consign		kʌnsajˈn
consigned		kʌnsajˈnd
consignment		kʌnsajˈnmʌnt
consis			kɑˈnsɪs
consist		kʌnsɪˈst
consisted		kʌnsɪˈstʌd
consisted(1)		kʌnsɪˈstɪd
consistence		kʌnsɪˈstʌns
consistency		kʌnsɪˈstʌnsi
consistent		kʌnsɪˈstʌnt
consistently		kʌnsɪˈstʌntli
consisting		kʌnsɪˈstɪŋ
consists		kʌnsɪˈsts
consob			kɑˈnsɑb
consol			kɑˈnsɑl
consol's		kɑˈnsɑlz
consolable		kʌnsowˈlʌbʌl
consolably		kʌnsowˈlʌbli
consolata		kɑnsowlɑˈtʌ
consolation		kɑˌnsʌlejˈʃʌn
consolations		kɑˌnsʌlejˈʃʌnz
console		kɑˈnsowl
console(1)		kʌnsowˈl
consoled		kʌnsowˈld
consoles		kʌnsowˈlz
consoli		kɑnsowˈli
consolidate		kʌnsɑˈlɪdejˌt
consolidated		kʌnsɑˈlʌdejˌtʌd
consolidated's		kʌnsɑˈlɪdejˌtɪdz
consolidates		kʌnsɑˈlɪdejˌts
consolidating		kʌnsɑˈlʌdejˌtɪŋ
consolidation		kʌnsɑˌlʌdejˈʃʌn
consolidations		kʌnsɑˌlɪdejˈʃʌnz
consolidator		kʌnsɑˈlɪdejˌtɚ
consolidators		kʌnsɑˈlɪdejˌtɚz
consoling		kʌnsowˈlɪŋ
consolo		kɑnsowˈlow
consonant		kɑˈnsʌnʌnt
consonantal		kɑˌnsʌnɑˈntʌl
consonantal(1)		kɑˌnsʌnɑˈnʌl
consonants		kɑˈnsʌnʌnts
consort		kʌnsɔˈɹt
consortia		kʌnsɔˈɹʃʌ
consorting		kʌnsɔˈɹtɪŋ
consortium		kʌnsɔˈɹʃiʌm
consortium(1)		kʌnsɔˈɹʃjʌm
consortium's		kʌnsɔˈɹʃiʌmz
consortium's(1)	kʌnsɔˈɹʃjʌmz
consortiums		kʌnsɔˈɹʃʌmz
consortiums(1)		kʌnsɔˈɹʃjʌmz
conspicuous		kʌnspɪˈkjuʌs
conspicuously		kʌnspɪˈkjuʌsli
conspiracies		kʌnspɪˈɹʌsiz
conspiracy		kʌnspɪˈɹʌsi
conspirator		kʌnspɪˈɹʌtɚ
conspiratorial		kʌnspɪˌɹʌtɔˈɹiʌl
conspiratorially	kʌnspɪˌɹʌtɔˈɹiʌli
conspiratorially(1)	kʌnspɪˌɹʌtɔˈɹjʌli
conspirators		kʌnspɪˈɹʌtɚz
conspire		kʌnspajˈɚ
conspired		kʌnspajˈɚd
conspiring		kʌnspajˈɹɪŋ
constable		kɑˈnstʌbʌl
constables		kɑˈnstʌbʌlz
constabulary		kʌnstæˈbjʌlɛˌɹi
constance		kɑˈnstʌns
constancy		kɑˈnstʌnsi
constant		kɑˈnstʌnt
constant's		kɑˈnstʌnts
constanta		kɑnstɑˈntʌ
constantin		kʌnstæˈntɪn
constantina		kɑnstɑntiˈnʌ
constantine		kɑˈnstʌntiˌn
constantine(1)		kɑˈnstʌntajˌn
constantinides		kɑnstʌntʌniˈdʌs
constantinides(1)	kɑˌnstæntʌniˈdiz
constantino		kɑˌnstʌntiˈnow
constantinople		kɑˌnstæntʌnowˈpʌl
constantinos		kɑˌnstʌntiˈnows
constantly		kɑˈnstʌntli
constants		kɑˈnstʌnts
constar		kɑˈnstɑˌɹ
constellation		kɑˌnstʌlejˈʃʌn
constellation's	kɑˌnstʌlejˈʃʌnz
constellations		kɑˌnstʌlejˈʃʌnz
consternation		kɑˌnstɚnejˈʃʌn
constipate		kɑˈnstʌpejˌt
constipated		kɑˈnstʌpejˌtʌd
constipates		kɑˈnstʌpejˌts
constipation		kɑˌnstʌpejˈʃʌn
constituencies		kʌnstɪˈʧuʌnsiz
constituency		kʌnstɪˈʧuʌnsi
constituent		kʌnstɪˈʧuʌnt
constituents		kʌnstɪˈʧuʌnts
constituents'		kʌnstɪˈʧuʌnts
constitute		kɑˈnstʌtuˌt
constituted		kɑˈnstʌtuˌtʌd
constitutes		kɑˈnstʌtuˌts
constituting		kɑˈnstʌtuˌtɪŋ
constitution		kɑˌnstʌtuˈʃʌn
constitution's		kɑˌnstɪtuˈʃʌnz
constitutional		kɑˌnstʌtuˈʃʌnʌl
constitutionality	kɑˌnstɪtuˌʃʌnæˈlɪti
constitutionally	kɑˌnstʌtuˈʃʌnʌli
constitutionist	kɑˌnstʌtuˈʃʌnɪst
constitutionists	kɑˌnstʌtuˈʃʌnɪsts
constitutions		kɑˌnstɪtuˈʃʌnz
constrain		kʌnstɹejˈn
constrained		kʌnstɹejˈnd
constraining		kʌnstɹejˈnɪŋ
constrains		kʌnstɹejˈnz
constraint		kʌnstɹejˈnt
constraints		kʌnstɹejˈnts
constrict		kʌnstɹɪˈkt
constricted		kʌnstɹɪˈktʌd
constricting		kʌnstɹɪˈktɪŋ
constriction		kʌnstɹɪˈkʃʌn
constrictions		kʌnstɹɪˈkʃʌnz
constrictor		kʌnstɹɪˈktɚ
constrictors		kʌnstɹɪˈktɚz
construcciones		kʌnstɹuˈʧiowˌnejz
construct		kʌnstɹʌˈkt
construct(1)		kɑˈnstɹʌkt
constructed		kʌnstɹʌˈktʌd
constructed(1)		kʌnstɹʌˈktɪd
constructing		kʌnstɹʌˈktɪŋ
construction		kʌnstɹʌˈkʃʌn
constructionist	kʌnstɹʌˈkʃʌnɪst
constructions		kʌnstɹʌˈkʃʌnz
constructive		kʌnstɹʌˈktɪv
constructively		kʌnstɹʌˈktɪvli
constructor		kʌnstɹʌˈktɚ
constructors		kʌnstɹʌˈktɚz
constructs		kʌnstɹʌˈkts
constructs(1)		kɑˈnstɹʌkts
construe		kʌnstɹuˈ
construed		kʌnstɹuˈd
consuela		kʌnswejˈlʌ
consul			kɑˈnsʌl
consular		kɑˈnsʌlɚ
consulate		kɑˈnsʌlʌt
consulates		kɑˈnsʌlʌts
consulship		kɑˈnsʌlʃɪˌp
consult		kʌnsʌˈlt
consultancy		kʌnsʌˈltʌnsi
consultant		kʌnsʌˈltʌnt
consultant's		kʌnsʌˈltʌnts
consultants		kʌnsʌˈltʌnts
consultants'		kʌnsʌˈltʌˌnts
consultation		kɑˌnsʌltejˈʃʌn
consultations		kɑˌnsʌltejˈʃʌnz
consultative		kʌnsʌˈltʌtɪv
consulted		kʌnsʌˈltʌd
consulted(1)		kʌnsʌˈltɪd
consulting		kʌnsʌˈltɪŋ
consults		kʌnsʌˈlts
consumable		kʌnsuˈmʌbʌl
consume		kʌnsuˈm
consumed		kʌnsuˈmd
consumer		kʌnsuˈmɚ
consumer's		kʌnsuˈmɚz
consumerism		kʌnsuˈmɚɪˌzʌm
consumerist		kʌnsuˈmɚɪst
consumerists		kʌnsuˈmɚɪsts
consumers		kʌnsuˈmɚz
consumers'		kʌnsuˈmɚz
consumes		kʌnsuˈmz
consuming		kʌnsuˈmɪŋ
consummate		kɑˈnsʌmʌt
consummate(1)		kɑˈnsʌmejˌt
consummated		kɑˈnsʌmejˌtʌd
consummates		kɑˈnsʌmejˌts
consummating		kɑˈnsʌmejˌtɪŋ
consummation		kɑˌnsʌmejˈʃʌn
consumption		kʌnsʌˈmpʃʌn
consumption(1)		kʌnsʌˈmʃʌn
contac			kɑˈntæk
contact		kɑˈntæˌkt
contacted		kɑˈntæˌktɪd
contacting		kɑˈntæˌktɪŋ
contacts		kɑˈntæˌkts
contacts(1)		kɑˈntæˌks
contadora		kɑˌntʌdɔˈɹʌ
contagion		kʌntejˈʤʌn
contagious		kʌntejˈʤʌs
contagiousness		kʌntejˈʤʌsnʌs
contain		kʌntejˈn
contained		kʌntejˈnd
container		kʌntejˈnɚ
container's		kʌntejˈnɚz
containerboard		kʌntejˈnɚbɔˌɹd
containerize		kʌntejˈnɚajˌz
containerized		kʌntejˈnɚajˌzd
containers		kʌntejˈnɚz
containers'		kʌntejˈnɚz
containing		kʌntejˈnɪŋ
containment		kʌntejˈnmʌnt
contains		kʌntejˈnz
contaminant		kʌntæˈmʌnʌnt
contaminants		kʌntæˈmʌnʌnts
contaminate		kʌntæˈmʌnejˌt
contaminated		kʌntæˈmʌnejˌtʌd
contaminated(1)	kʌntæˈmʌnejˌtɪd
contaminates		kʌntæˈmʌnejˌts
contaminating		kʌntæˈmʌnejˌtɪŋ
contamination		kʌntæˌmʌnejˈʃʌn
contant		kɑˈntʌnt
conte			kɔˈnt
conte(1)		kɔˈntej
contel			kɑˈntɛˌl
contemplate		kɑˈntʌmplejˌt
contemplated		kɑˈntʌmplejˌtɪd
contemplates		kɑˈntʌmplejˌts
contemplating		kɑˈntʌmplejˌtɪŋ
contemplation		kɑˌntʌmplejˈʃʌn
contemplative		kʌntɛˈmplʌtɪv
contempo		kɑˌntɛˈmpow
contemporaneous	kʌntɛˌmpɚejˈniʌs
contemporaneously	kʌntɛˌmpɚejˈniʌsli
contemporaries		kʌntɛˈmpɚɛˌɹiz
contemporary		kʌntɛˈmpɚɛˌɹi
contempt		kʌntɛˈmpt
contemptible		kʌntɛˈmptʌbʌl
contemptuous		kʌntɛˈmpʧuʌs
contemptuously		kʌntɛˈmpʧwʌsli
contend		kʌntɛˈnd
contended		kʌntɛˈndɪd
contender		kʌntɛˈndɚ
contenders		kʌntɛˈndɚz
contending		kʌntɛˈndɪŋ
contends		kʌntɛˈndz
contends(1)		kʌntɛˈnz
content		kɑˈntɛnt
content(1)		kʌntɛˈnt
contented		kʌntɛˈntʌd
contented(1)		kʌntɛˈntɪd
contentedly		kʌntɛˈntʌdli
contention		kʌntɛˈnʃʌn
contentioned		kʌntɛˈnʃʌnd
contentions		kʌntɛˈnʃʌnz
contentious		kʌntɛˈnʃʌs
contentiousness	kʌntɛˈnʃʌsnʌs
contentment		kʌntɛˈntmʌnt
contento		kʌntɛˈntow
contents		kɑˈntɛnts
contents(1)		kʌntɛˈnts
contest		kɑˈntɛst
contest(1)		kʌntɛˈst
contest's		kɑˈntɛsts
contestable		kʌntɛˈstʌbʌl
contestant		kʌntɛˈstʌnt
contestants		kʌntɛˈstʌnts
contested		kʌntɛˈstʌd
contesting		kʌntɛˈstɪŋ
contests		kɑˈntɛsts
contests(1)		kʌntɛˈsts
contests(2)		kɑˈntɛs
contests(3)		kʌntɛˈs
context		kɑˈntɛkst
contexts		kɑˈntɛˌksts
conti			kɑˈnti
contibel		kɑˈntɪbʌl
conticommodity		kɑˌntɪkʌmɑˈdɪti
contiguous		kʌntɪˈgjuʌs
continent		kɑˈntʌnʌnt
continent's		kɑˈntʌnʌnts
continental		kɑˌntʌnɛˈntʌl
continental(1)		kɑˌntʌnɛˈnʌl
continental's		kɑˌntʌnɛˈntʌlz
continentally		kɑˌntʌnɛˈntʌli
continentally(1)	kɑˌntʌnɛˈnʌli
continentals		kɑˌntʌnɛˈntʌlz
continentals(1)	kɑˌntʌnɛˈnʌlz
continents		kɑˈntʌnʌnts
contingencies		kʌntɪˈnʤʌnsiz
contingency		kʌntɪˈnʤʌnsi
contingent		kʌntɪˈnʤʌnt
contingents		kʌntɪˈnʤʌnts
contini		kʌntiˈni
contino		kɑntiˈnow
continual		kʌntɪˈnjuʌl
continually		kʌntɪˈnjuʌli
continually(1)		kʌntɪˈnjuli
continuance		kʌntɪˈnjuʌns
continuances		kʌntɪˈnjuʌnsɪz
continuation		kʌntɪˌnjuejˈʃʌn
continue		kʌntɪˈnju
continued		kʌntɪˈnjud
continues		kʌntɪˈnjuz
continuing		kʌntɪˈnjuɪŋ
continuity		kɑˌntʌnuˈʌti
continuous		kʌntɪˈnjuʌs
continuously		kʌntɪˈnjuʌsli
continuum		kʌntɪˈnjuʌm
contois		kʌntwɑˈ
contort		kʌntɔˈɹt
contorted		kʌntɔˈɹtʌd
contortion		kʌntɔˈɹʃʌn
contortionist		kʌntɔˈɹʃʌnʌst
contortions		kʌntɔˈɹʃʌnz
contorts		kʌntɔˈɹts
contos			kɑˈntowz
contour		kɑˈntʊˌɹ
contoured		kɑˈntʊˌɹd
contours		kɑˈntʊˌɹz
contra			kɑˈntɹʌ
contraband		kɑˈntɹʌbæˌnd
contrabassoon		kɑˈntɹʌbæsuˈn
contraception		kɑˌntɹʌsɛˈpʃʌn
contraceptive		kɑˌntɹʌsɛˈptɪv
contraceptives		kɑˌntɹʌsɛˈptɪvz
contract		kɑˈntɹæˌkt
contract(1)		kʌntɹæˈkt
contract's		kɑˈntɹæˌkts
contracted		kɑˈntɹæktʌd
contracting		kɑˈntɹæktɪŋ
contraction		kʌntɹæˈkʃʌn
contractionary		kʌntɹæˈkʃʌnɛɹi
contractions		kʌntɹæˈkʃʌnz
contractor		kɑˈntɹæˌktɚ
contractor's		kɑˈntɹæˌktɚz
contractors		kɑˈntɹæˌktɚz
contractors'		kʌntɹæˈktɚz
contracts		kɑˈntɹæˌkts
contracts(1)		kʌntɹæˈkts
contractual		kʌntɹæˈkʧuʌl
contractually		kʌntɹæˈkʧuʌli
contradict		kɑˌntɹʌdɪˈkt
contradicted		kɑˌntɹʌdɪˈktʌd
contradicting		kɑˌntɹʌdɪˈktɪŋ
contradiction		kɑˌntɹʌdɪˈkʃʌn
contradictions		kɑˌntɹʌdɪˈkʃʌnz
contradictorily	kɑˌntɹʌdɪˈktɚʌli
contradictory		kɑˌntɹʌdɪˈktɚi
contradicts		kɑˌntɹʌdɪˈkts
contran		kɑˈntɹæˌn
contraption		kʌntɹæˈpʃʌn
contraptions		kʌntɹæˈpʃʌnz
contrarian		kɑˌntɹɛˈɹiʌn
contrarians		kʌntɹɛˈɹiʌnz
contrariness		kɑˈntɹɛɹinʌs
contrary		kɑˈntɹɛɹi
contrary(1)		kʌntɹɛˈɹi
contras		kɑˈntɹʌz
contras(1)		kɔˈntɹʌz
contras'		kɑˈntɹʌz
contrast		kɑˈntɹæst
contrast(1)		kʌntɹæˈst
contrasted		kʌntɹæˈstʌd
contrasting		kʌntɹæˈstɪŋ
contrasts		kɑˈntɹæsts
contrasts(1)		kʌntɹæˈsts
contrasts(2)		kɑˈntɹæs
contrasts(3)		kʌntɹæˈs
contravene		kɑˈntɹʌviˌn
contravention		kɑˌntɹʌvɛˈnʧʌn
contreras		kɑntɹɛˈɹɑz
contretemps		kɑˈntɹʌtɛˌmps
contribute		kʌntɹɪˈbjut
contributed		kʌntɹɪˈbjutɪd
contributes		kʌntɹɪˈbjuts
contributing		kʌntɹɪˈbjutɪŋ
contribution		kɑˌntɹʌbjuˈʃʌn
contributions		kɑˌntɹʌbjuˈʃʌnz
contributor		kʌntɹɪˈbjʌtɚ
contributors		kʌntɹɪˈbjʌtɚz
contributory		kʌntɹɪˈbjʌtɔˌɹi
contrite		kʌntɹajˈt
contrition		kʌntɹɪˈʃʌn
contrivance		kʌntɹajˈvʌns
contrivances		kʌntɹajˈvʌnsɪz
contrive		kʌntɹajˈv
contrived		kʌntɹajˈvd
control		kʌntɹowˈl
control's		kʌntɹowˈlz
controladora		kʌntɹowˌlʌdɔˈɹʌ
controllable		kʌntɹowˈlʌbʌl
controlled		kʌntɹowˈld
controller		kʌntɹowˈlɚ
controller's		kʌntɹowˈlɚz
controllers		kʌntɹowˈlɚz
controllers'		kʌntɹɑˈlɚz
controlling		kʌntɹowˈlɪŋ
controls		kʌntɹowˈlz
controls'		kɑˈntɹɑlz
controversial		kɑˌntɹʌvɚˈʃʌl
controversies		kɑˈntɹʌvɚˌsiz
controversy		kɑˈntɹʌvɚˌsi
contura		kɑˌntʊˈɹʌ
contusion		kʌntuˈʒʌn
contusions		kʌntuˈʒʌnz
conundrum		kʌnʌˈndɹʌm
conus			kowˈnʌs
convair		kɑnvɛˈɹ
convalesce		kɑˌnvʌlɛˈs
convalescence		kɑˌnvʌlɛˈsʌns
convalescent		kɑˌnvʌlɛˈsʌnt
convection		kʌnvɛˈkʃʌn
convective		kʌnvɛˈktɪv
convene		kʌnviˈn
convened		kʌnviˈnd
convenes		kʌnviˈnz
convenience		kʌnviˈnjʌns
conveniences		kʌnviˈnjʌnsɪz
convenient		kʌnviˈnjʌnt
conveniently		kʌnviˈnjʌntli
convening		kʌnviˈnɪŋ
convent		kɑˈnvʌnt
convent(1)		kɑˈnvɛˌnt
convention		kʌnvɛˈnʃʌn
convention's		kʌnvɛˈnʃʌnz
conventional		kʌnvɛˈnʃʌnʌl
conventionally		kʌnvɛˈnʃʌnʌli
conventioneer		kʌnvɛˌnʃʌnɪˈɹ
conventioneers		kʌnvɛˌnʃʌnɪˈɹz
conventions		kʌnvɛˈnʃʌnz
convents		kɑˈnvʌnts
convents(1)		kɑˈnvɛˌnts
converge		kʌnvɚˈʤ
converged		kʌnvɚˈʤd
convergence		kʌnvɚˈʤʌns
convergent		kʌnvɚˈʤʌnt
converging		kʌnvɚˈʤɪŋ
conversant		kʌnvɚˈsʌnt
conversation		kɑˌnvɚsejˈʃʌn
conversational		kɑˌnvɚsejˈʃʌnʌl
conversationalist	kɑˌnvɚsejˈʃʌnʌlʌst
conversations		kɑˌnvɚsejˈʃʌnz
converse		kɑˈnvɚs
converse(1)		kʌnvɚˈs
conversed		kʌnvɚˈst
conversely		kɑˈnvɚsli
converses		kɑˈnvɚsʌz
converses(1)		kʌnvɚˈsʌz
conversing		kʌnvɚˈsɪŋ
conversion		kʌnvɚˈʒʌn
conversion's		kʌnvɚˈʒʌnz
conversions		kʌnvɚˈʒʌnz
convert		kɑˈnvɚt
convert(1)		kʌnvɚˈt
converted		kʌnvɚˈtɪd
converter		kʌnvɚˈtɚ
converters		kʌnvɚˈtɚz
convertibility		kɑˌnvɚtɪbɪˈlɪti
convertible		kʌnvɚˈtʌbʌl
convertibles		kʌnvɚˈtʌbʌlz
converting		kʌnvɚˈtɪŋ
converts		kɑˈnvɚts
converts(1)		kʌnvɚˈts
convery		kɑˈnvɚi
convex			kʌnvɛˈks
convex(1)		kɑˈnvɛˌks
convey			kʌnvejˈ
conveyance		kʌnvejˈʌns
conveyed		kʌnvejˈd
conveyer		kʌnvejˈɚ
conveying		kʌnvejˈɪŋ
conveyor		kʌnvejˈɚ
conveys		kʌnvejˈz
convict		kɑˈnvɪkt
convict(1)		kʌnvɪˈkt
convicted		kʌnvɪˈktʌd
convicting		kʌnvɪˈktɪŋ
conviction		kʌnvɪˈkʃʌn
convictions		kʌnvɪˈkʃʌnz
convicts		kɑˈnvɪkts
convicts(1)		kʌnvɪˈkts
conville		kɑˈnvɪl
convince		kʌnvɪˈns
convinced		kʌnvɪˈnst
convinces		kʌnvɪˈnsɪz
convincing		kʌnvɪˈnsɪŋ
convincingly		kʌnvɪˈnsɪŋli
convivial		kʌnvɪˈviʌl
convocation		kɑˌnvʌkejˈʃʌn
convolute		kɑˈnvʌluˌt
convoluted		kɑˈnvʌluˌtʌd
convolution		kɑˈnvʌluˌʃʌn
convoy			kɑˈnvɔjˌ
convoys		kɑˈnvɔjˌz
convulsant		kʌvʌˈlsʌnt
convulsants		kʌnvʌˈlsʌnts
convulsion		kʌnvʌˈlʃʌn
convulsions		kʌnvʌˈlʃʌnz
convulsive		kʌnvʌˈlsɪv
conway			kɑˈnwejˌ
conwell		kɑˈnwɛˌl
conyer			kɑˈnjɚ
conyers		kɑˈnjɚz
coo			kuˈ
coochie		kuˈʧi
coody			kuˈdi
coogan			kuˈgʌn
coogle			kuˈgʌl
coogler		kuˈgʌlɚ
coogler(1)		kuˈglɚ
cooing			kuˈɪŋ
cook			kʊˈk
cook's			kʊˈks
cookbook		kʊˈkbʊˌk
cookbook's		kʊˈkbʊˌks
cookbooks		kʊˈkbʊˌks
cooke			kʊˈk
cooked			kʊˈkt
cooker			kʊˈkɚ
cookers		kʊˈkɚz
cookie			kʊˈki
cookies		kʊˈkiz
cookin'		kʊˈkɪn
cooking		kʊˈkɪŋ
cookingham		kʊˈkɪŋhæm
cookman		kʊˈkmʌn
cookout		kʊˈkawˌt
cookouts		kʊˈkawˌts
cooks			kʊˈks
cooksey		kʊˈksi
cookson		kʊˈksʌn
cookston		kʊˈkstʌn
cookware		kʊˈkwɛˌɹ
cool			kuˈl
coolant		kuˈlʌnt
coolants		kuˈlʌnts
coolbaugh		kuˈlbɔˌ
coole			kuˈl
cooled			kuˈld
cooler			kuˈlɚ
coolers		kuˈlɚz
coolest		kuˈlʌst
cooley			kuˈli
cooley's		kuˈliz
coolidge		kuˈlɪʤ
coolidge's		kuˈlɪʤʌz
cooling		kuˈlɪŋ
coolio			kuˈliˌow
coolio(1)		kuˈljow
coolly			kuˈli
coolman		kuˈlmʌn
coolness		kuˈlnʌs
cools			kuˈlz
coombe			kuˈmb
coombe(1)		kuˈm
coombes		kuˈmbz
coombes(1)		kuˈmz
coombs			kuˈmz
coomer			kuˈmɚ
coomes			kuˈmz
coon			kuˈn
coonan			kuˈnʌn
coonce			kuˈns
coone			kuˈn
cooner			kuˈnɚ
coones			kuˈnz
cooney			kuˈni
coonradt		kuˈnɹæt
coonrod		kuˈnɹɑˌd
coons			kuˈnz
coontz			kuˈnts
coop			kuˈp
cooped			kuˈpt
cooper			kuˈpɚ
cooper's		kuˈpɚz
cooperage		kuˈpɚʌʤ
cooperate		kowɑˈpɚejˌt
cooperate(1)		kwɑˈpɚejˌt
cooperated		kowɑˈpɚejˌtʌd
cooperated(1)		kwɑˈpɚejˌtʌd
cooperates		kowɑˈpɚejˌts
cooperating		kowɑˈpɚejˌtɪŋ
cooperation		kowɑˌpɚejˈʃʌn
cooperation(1)		kwɑˌpɚejˈʃʌn
cooperation(2)		kwɔˌpɚejˈʃʌn
cooperations		kowɑˌpɚejˈʃʌnz
cooperations(1)	kwɑˌpɚejˈʃʌnz
cooperative		kowɑˈpɚejˌtɪv
cooperatively		kowɑˈpɹʌtɪvli
cooperatives		kowɑˈpɹʌtɪvz
cooperider		kuˈpɚajdɚ
cooperman		kuˈpɚmæˌn
cooperrider		kuˈpɚajdɚ
coopers		kuˈpɚz
coopersmith		kuˈpɚsmɪˌθ
cooperstein		kuˈpɚstajˌn
cooperstein(1)		kuˈpɚstiˌn
cooperstown		kuˈpɚztawˌn
coopervision		kuˈpɚvɪˌʒʌn
coopman		kuˈpmʌn
cooprider		kuˈpɹajˌdɚ
coordinate		kowɔˈɹdʌnʌt
coordinate(1)		kowɔˈɹdʌnejˌt
coordinated		kowɔˈɹdʌnejtɪd
coordinates		kowɔˈɹdʌnʌts
coordinates(1)		kowɔˈɹdʌnejˌts
coordinating		kowɔˈɹdʌnejˌtɪŋ
coordination		kowɔˌɹdʌnejˈʃʌn
coordinator		kowɔˈɹdʌnejˌtɚ
coordinators		kowɔˈɹdʌnejˌtɚz
coors			kuˈɹz
coors's		kuˈɹzɪz
coos			kuˈs
coosa			kuˈsʌ
coot			kuˈt
coote			kuˈt
cooter			kuˈtɚ
coots			kuˈts
coover			kuˈvɚ
coovick		kuˈvɪk
cop			kɑˈp
copa			kowˈpʌ
copacabana		kowˌpʌkʌbæˈnʌ
copartner		kowˈpɑˌɹtnɚ
copartners		kowˈpɑˌɹtnɚz
copas			kowˈpʌz
copayment		kowˈpejˈmʌnt
copayments		kowˈpejˈmʌnts
copco			kɑˈpkow
cope			kowˈp
coped			kowˈpt
copelan		kɑˈpɪlæn
copeland		kowˈplʌnd
copeland's		kowˈplʌndz
copelco		kowˌpɛˈlkow
copelin		kɑˈpɪlɪn
copeman		kowˈpmʌn
copen			kowˈpʌn
copenhagen		kowˈpʌnhejˌgʌn
copenhagen(1)		kowˈpʌnhɑˌgʌn
copenhagen's		kowˈpʌnhejˌgʌnz
copenhagen's(1)	kowˈpʌnhɑˌgʌnz
copenhaver		kʌpɛˈnhʌvɚ
copernican		kʌpɚˈnʌkʌn
copernicus		kʌpɚˈnʌkʌs
copes			kowˈps
copetas		kʌpejˈtʌs
copetas(1)		kʌpiˈtʌs
copher			kɑˈfɚ
copiague		kowˈpiæg
copied			kɑˈpid
copier			kɑˈpiɚ
copiers		kɑˈpiɚz
copies			kɑˈpiz
copilot		kowˈpajlʌt
copilots		kowˈpajlʌts
coping			kowˈpɪŋ
copious		kowˈpiʌs
copiously		kowˈpjʌsli
coplan			kɑˈplʌn
copland		kɑˈplʌnd
coplen			kɑˈpʌlʌn
copley			kɑˈpli
copley's		kɑˈpliz
copleys		kɑˈpliz
coplin			kɑˈplɪn
copolla		kowpowˈlʌ
copolla's		kowpowˈlʌz
copp			kɑˈp
coppa			kowˈpʌ
coppage		kɑˈpɪʤ
copped			kɑˈpt
coppedge		kɑˈpɪʤ
coppee			kɑˈpiˈ
coppel			kɑˈpʌl
coppens		kɑˈpʌnz
copper			kɑˈpɚ
copper's		kɑˈpɚz
copperfield		kɑˈpɚfiˌld
copperfield's		kɑˈpɚfiˌldz
copperfields		kɑˈpɚfiˌldz
copperfields'		kɑˈpɚfiˌldz
copperhead		kɑˈpɚhɛˌd
copperheads		kɑˈpɚhɛˌdz
copperman		kɑˈpɚmʌn
coppernoll		kʌpɚˈnowl
coppers		kɑˈpɚz
coppersmith		kɑˈpɚsmɪˌθ
copperweld		kɑˈpɚwɛˌld
coppery		kɑˈpɚi
coppess		kɑˈpʌs
coppin			kɑˈpɪn
copping		kɑˈpɪŋ
coppinger		kɑˈpɪŋɚ
coppins		kɑˈpɪnz
copple			kɑˈpʌl
coppock		kɑˈpʌk
coppola		kowpowˈlʌ
coppola's		kowpowˈlʌz
coppolino		kowpowliˈnow
copps			kɑˈps
copra			kowˈpɹʌ
coprocessor		kowˈpɹɑˈsɛsɚ
coprocessors		kowˈpɹɑˈsɛsɚz
cops			kɑˈps
copsey			kɑˈpsi
coptic			kɑˈptɪk
copulate		kɑˈpjʌlejˌt
copus			kowˈpʌs
copy			kɑˈpi
copycat		kɑˈpikæˌt
copycats		kɑˈpikæˌts
copycatting		kɑˈpikæˌtɪŋ
copycode		kɑˈpikowˌd
copycodes		kɑˈpikowˌdz
copying		kɑˈpiɪŋ
copyreader		kɑˈpiɹiˌdɚ
copyreaders		kɑˈpiɹiˌdɚz
copyright		kɑˈpiɹajˌt
copyrightable		kɑˈpiɹajˌtʌbʌl
copyrighted		kɑˈpiɹajˌtɪd
copyrights		kɑˈpiɹajˌts
copytele		kɑˈpitɛˌlʌ
copywrite		kɑˈpiɹajˌt
copywrited		kɑˈpiɹajˌtɪd
copywriter		kɑˈpiɹajˌtɚ
copywriters		kɑˈpiɹajˌtɚz
cor			kɔˈɹ
cora			kɔˈɹʌ
cora's			kɔˈɹʌz
corabelle		kɔˈɹʌbʌl
corabelle(1)		kɔˈɹʌbɛˌl
coracle		kɔˈɹʌkʌl
coral			kɔˈɹʌl
coralie		kɔˈɹʌli
coraline		kɔˈɹʌlajˌn
corallo		kɔˌɹæˈlow
corals			kɔˈɹʌlz
coram			kɔˈɹæˌm
corath			kɔˈɹæˈθ
corazon		kɔˈɹʌzowˌn
corban			kɔˈɹbʌn
corbeil		kɔˈɹbajˌl
corbel			kɔˈɹbʌl
corbell		kɔˈɹbɛl
corbelled		kɔˈɹbʌld
corbello		kɚbɛˈlow
corbet			kɔˈɹbɪt
corbett		kɔˈɹbɪt
corbin			kɔˈɹbɪn
corbit			kɔˈɹbɪt
corbitt		kɔˈɹbɪt
